,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
C1_10220C,747.200284720442,0.138628164245396,0.625660785576935,0.221570805524536,0.824648011412714,0.98500176332178
C1_10230C,1847.83298844671,-0.100922458374266,0.328693832349721,-0.307040925145462,0.758812221962047,0.98500176332178
C1_10240C,255.649891408172,-2.26461049658092,1.16016093011626,-1.95197962437331,0.0509406237617655,0.792790723653201
C1_10250C,150.620006007072,0.358862027905201,0.858137714034377,0.418186990311936,0.675810406887191,0.983650165304635
C1_10260C,287.169284309866,0.0845728388217176,0.943818514273266,0.0896070987618187,0.928599443107547,0.994042692065011
C1_10270C,849.377547254967,-0.214888075879659,0.678847964450563,-0.316548162670831,0.751586474512581,0.98500176332178
C1_10280C,1390.63008072752,0.251394549323693,0.469212004632736,0.535780301530149,0.59211039776731,0.958588580221295
C1_10290W,1165.36682126945,-0.0226436694313975,1.11282719314169,-0.0203478757267521,0.983765864373108,0.997709761689438
C1_10300W,751.669447080098,-0.31228482782004,0.456985521220105,-0.68335825385949,0.494380492277123,0.9544445184834
C1_10310W,247.549834484954,-0.298213712108307,0.96076733660828,-0.310391184988727,0.756263496715389,0.98500176332178
C1_10320W,560.168383490115,-1.21637503355532,0.603745725514002,-2.01471411250118,0.0439346126525509,0.792790723653201
C1_10330C,358.871183752153,-1.20538679994408,0.82308621598777,-1.46447210089349,0.143065000533802,0.874342851809427
C1_10340W,202.853378675934,1.27493692853523,1.13932895733603,1.11902442251295,0.263129720151295,0.913703879686606
C1_10350C,1316.78709602013,0.0651905789530597,0.525294517117716,0.124102911469093,0.901233792963794,0.992570630088984
C1_10360C,3749.49351628273,-0.487454182321632,0.38550544747101,-1.26445471917304,0.206066863369184,0.903617831397644
C1_10380C,1236.62592925733,-0.478728564792065,0.367280155228432,-1.30344250288807,0.192423733930935,0.896279291302875
C1_10390C,9558.31699386561,0.0378736133485248,0.372171970114791,0.101763744692657,0.918944203750681,0.994042692065011
C1_10400C,828.716055192068,0.420133892418494,0.72511409875178,0.57940383884649,0.562316714454984,0.956455180646075
C1_10410W,337.258107727762,0.103875530246221,0.61606629030338,0.168610962620708,0.866102657104584,0.986905114381458
C1_10420C,639.74155569562,0.461000835492316,0.411593734275783,1.12003851638672,0.262697349132173,0.913703879686606
C1_10440W,860.356025053121,0.395414389739073,0.629578491992612,0.628062099910035,0.529963259779553,0.9544445184834
C1_10450W,4308.18241235782,-0.218524166051614,0.313987092554733,-0.695965443272232,0.486450471294899,0.954416016412458
C1_10460W,654.44541592576,0.587877762290401,0.937425103472784,0.627119713471028,0.530580765834967,0.9544445184834
C1_10470W,1517.70873139335,0.460326197326708,0.406116275859227,1.13348374514858,0.257011163503914,0.913703879686606
C1_10480W,1086.48510734735,-0.367395180651167,0.674605600636997,-0.544607368074403,0.5860235861338,0.958588580221295
C1_10490W,3019.63692082149,-0.0248865247286397,0.288372689676112,-0.0862998668722449,0.931228044303224,0.994042692065011
C1_10500W,1162.66535031071,0.451411591981982,0.367880953162892,1.22705888440521,0.219800459808498,0.911151628388771
C1_10510W,167.491843117519,-1.62529754809626,1.21414019859822,-1.33864075167987,0.180687652850199,0.888052846272707
C1_10520W,191.938116059847,1.04111214635709,1.1176805111629,0.93149351353891,0.351598338358788,0.923669963557522
C1_10530W,1359.4371928164,-0.0196458763848783,0.368057788177469,-0.0533771516754469,0.957431409577008,0.995692871753558
C1_10540C,452.271111633859,-0.548906799727933,0.753385002369531,-0.728587372991927,0.466254104750496,0.950244860134314
