Geneid,Fluconazole_rna1,Fluconazole_rna2,Fluconazole_rna3,Fluconazole_rna4,Nodrug_rna1,Nodrug_rna2,Nodrug_rna3,Nodrug_rna4
C1_05710C,546,1004,696,607,282,331,184,528
C1_05720W,755,1148,1584,1034,2969,3753,4600,1589
C1_05740C,1204,2409,2005,1518,4247,6040,5493,5957
C1_05750C,3404,4440,4611,3375,2083,2815,2142,3485
C1_05760C,20,80,27,84,217,597,803,363
C1_05770C,2981,4715,3399,3907,2082,3325,2606,3379
C1_05780W,1568,1558,1561,1040,870,1828,1192,462
C1_05790W,195,533,742,456,442,563,721,801
C1_05800C,160,264,564,338,246,385,266,897
C1_05810W,373,580,529,526,719,736,769,1739
C1_05820C,384,377,463,246,287,275,316,1311
C1_05830W,3,7,0,7,20,22,0,0
C1_05840W,217,159,95,249,194,386,137,0
C1_05850W,517,656,587,457,562,762,503,1477
C1_05860W,219,263,109,241,94,139,21,2
C1_05870W,26,74,53,153,113,107,95,123
C1_05880W,143,167,155,117,357,596,245,49
