Geneid,Fluconazole_rna1,Fluconazole_rna2,Fluconazole_rna3,Fluconazole_rna4,Nodrug_rna1,Nodrug_rna2,Nodrug_rna3,Nodrug_rna4,Fluconazole_ribo1,Fluconazole_ribo2,Fluconazole_ribo3,Fluconazole_ribo4,Nodrug_ribo1,Nodrug_ribo2,Nodrug_ribo3,Nodrug_ribo4
C2_06150C,119.5218983,121.6158114,116.0733358,73.82596895,56.28348856,71.16878615,67.73859236,44.45436895,144.9726025,177.9951286,254.0199939,112.6404205,83.25286892,131.6783647,96.50994619,133.9590987
C2_06160W,11.17606825,21.8576061,4.524814969,9.615409912,9.077479445,19.11032801,14.00183194,0.163465655,44.69391291,20.31291848,16.60212358,26.51167536,1.209995854,44.92743272,0.276882003,50.37308373
C2_06170C,305.6894158,328.3163729,302.4424713,247.5150966,168.7907132,183.9414092,165.1192072,210.7073356,311.3726837,280.2582639,219.8746186,246.6989582,164.5779552,159.488028,195.9825612,181.6037667
C2_06180C,0,0.061514575,0.368742035,0.293050419,0,0,0,0.051065187,0.462827828,0.785019141,0.090988645,0.871790188,4.535900689,2.45188401,0.345981701,0
C2_06190W,83.51051998,101.7705867,114.1501266,90.20575166,105.0720281,141.9467218,165.9050144,69.50349097,152.5527804,108.7284202,101.4939176,97.07802458,116.1716953,167.8523486,192.2483531,181.9945642
C2_06200C,35.79400151,36.62511899,36.21712048,25.19173364,21.50493696,33.15427131,31.53291926,42.51431799,12.49456522,18.58863222,23.84244847,18.233578,16.19456584,16.77960324,45.33011184,12.22598567
C2_06210C,104.4373903,130.0231912,119.2922207,106.5221694,252.0423583,294.0770568,322.5008513,354.8076386,63.39301037,112.3479533,142.9144612,90.20377319,164.9693287,242.5033231,445.4960942,200.7827328
C2_06220C,29.28485582,12.47651216,12.53294978,12.42332553,11.12095905,10.62287766,9.695659254,2.094067768,0.085493341,7.322922754,13.31144511,9.018054017,5.655618921,8.433512866,0.671050581,13.19827987
C2_06230W,74.09194075,57.59726982,65.0604113,62.41499859,65.1676656,53.91949893,54.11026269,53.71108184,58.02387618,34.20876365,37.0326152,53.9352501,48.56947658,37.3658181,11.02194251,39.24162103
C2_06240W,20.20723451,65.27379867,49.56166091,15.54795279,88.47022385,75.93914914,31.77859888,0,27.28398613,0,0,49.33686695,0,0,1.223750089,12.03441039
C2_06250C,27.62115161,31.84938098,33.4721492,12.75144388,36.08212683,44.12901869,41.15177283,60.91745706,25.19252425,49.60641115,35.85496044,15.62825244,46.29318183,75.8929808,17.6765062,57.07745263
C2_06260W,5.944354322,12.2059697,21.02937128,3.560096611,9.127649441,11.75476914,22.97846242,35.05038671,28.11311079,3.311366078,0,5.001241593,13.39332867,21.56952867,0.350260626,8.180634981
C2_06270W,0.228473757,4.959496663,8.258092137,2.601742854,4.675781084,4.047725645,7.318491134,0,20.3601605,2.448746894,0,2.231315591,1.813980385,0.649190568,32.29408841,0.204101181
C2_06280C,1.784449164,7.896902086,15.20314666,5.080099702,4.837439934,7.646883633,11.2989966,0.047850126,33.82768098,8.827132651,13.64160087,4.629113232,17.88676619,6.337968423,0.081049679,4.981537418
C2_06290C,675.5618136,701.1211047,655.158286,685.6816386,370.0829801,276.7169899,420.6836884,367.1873475,475.5648269,375.8438137,364.0098096,520.475609,399.6556319,195.7751122,388.4644464,285.2460853
C2_06300W,56.10367092,91.7774241,124.6473311,108.19615,36.78948273,37.65961886,60.19788113,1.766662782,151.7813296,31.26079526,54.69413264,86.08352399,7.764520567,9.689169226,49.37485266,34.94520301
C2_06310C,627.6641394,631.5776869,785.8829862,688.6971779,954.3035777,900.9574904,905.0088175,741.4150545,575.3316452,826.3590419,857.2346669,726.768763,816.0268908,918.5737196,947.2400821,1144.250907
C2_06320W,56.86123983,63.5889629,60.30411127,35.21009326,35.31493967,37.55858001,42.50817578,46.29031592,82.07004852,56.84601834,55.18972678,32.53521951,68.76994479,46.92645101,32.07835163,31.31602089
C2_06330C,18.93606358,27.67835611,26.77399121,16.98301872,34.5687927,22.26083761,27.69788429,38.78107434,15.24470531,33.8256404,33.24973762,13.63519567,27.83712263,12.08518938,10.05213807,14.14075853
C2_06340W,1.473444183,6.298921572,4.17361355,5.947091943,0.038577132,1.423859046,0.250883675,0.027092919,35.27819406,3.852590467,3.089569976,4.933686695,7.219641931,3.4540094,13.58362599,1.917984157
C2_06350C,0,0.391642792,0.097819068,0.174914469,0.231462795,0.392287697,0,0,1.105001438,0.1561861,0,0.231266564,6.016368276,0.807430769,0,0
C2_06360C,16.67096847,30.80923297,26.01987198,10.26164884,14.35069329,26.0943964,19.38076392,0.812787565,35.76930581,45.6063412,57.5432408,15.57194863,24.26601871,56.07158117,90.58810036,43.09823223
C2_06370C,33.38523816,44.61370891,59.66404156,37.78152529,9.880154734,11.02888838,22.25696606,0,43.56862813,83.85854832,69.26705544,44.72034583,45.17433094,15.50267076,109.6025544,24.71781935
C2_06390C,212.9011732,250.8311448,264.9024413,203.4610569,479.2093592,446.3498446,517.5651822,458.9932025,150.2974612,212.8645714,191.1841138,175.0489144,281.5237327,254.5772442,486.0355323,291.4128364
C2_06420C,101.6902014,120.7823373,118.0416626,99.2461127,59.41272048,66.98912857,54.02239142,44.84223637,164.2280199,110.6371333,123.7244207,95.14967198,62.02077602,43.74956513,87.74475449,53.93035283
C2_06430C,13.59988364,7.924736848,5.507701166,2.215925237,6.679161004,13.62078101,17.21606453,0.915279838,14.51732095,8.647488469,7.848504374,5.859657219,11.22114435,16.57482517,34.68847027,20.72494869
C2_06440C,2.567042821,4.286383652,7.035325772,3.008300964,14.74727124,18.05971588,20.22596406,58.13946227,0.863844772,0.244199766,18.00152539,1.084768247,12.46387695,12.93993284,0.753383605,2.646002286
C2_06450C,2.572629421,0.920509718,0,0.822231236,0,0.068298184,0,0,14.33255402,1.386810202,0.226927066,0.362376335,9.427171183,3.584676319,0.107860454,0
